"","x"
"1",0
"2",0
"3",-0.961933415919883
"4",-2.21639255471823
"5",-3.21206347727533
"6",-5.35986628574756
"7",-7.31188626793342
"8",-9.23378230551764
"9",-11.0702606114896
"10",-11.7901287047463
"11",-13.728854213581
"12",-14.4002110003257
"13",-15.8163493832057
"14",-18.3637063369213
"15",-21.62742178067
"16",-24.6384848547724
"17",-27.4975022222192
"18",-30.6641760193445
"19",-34.7838671473778
"20",-39.5518010868597
"21",-43.0954214020609
"22",-46.4392301092792
"23",-50.3615225383575
"24",-55.2261157009133
"25",-60.2944370431311
"26",-67.029233225379
"27",-74.248484516778
"28",-82.2088084688985
"29",-89.0085166417777
"30",-94.7961576897227
"31",-100.655877211754
"32",-107.652379031885
"33",-113.748256123033
"34",-118.992362767089
"35",-123.508754236991
"36",-127.288643561204
"37",-131.420662502362
"38",-134.847165930035
"39",-136.973311368976
"40",-139.061204793773
"41",-142.128381988566
"42",-144.401797952486
"43",-145.888707044397
"44",-147.686079267268
"45",-147.784566644579
"46",-148.677647730439
"47",-149.22229110012
"48",-152.032335543318
"49",-155.004585265544
"50",-156.845969996312
"51",-159.14290070334
"52",-162.338997725907
"53",-164.808255846743
"54",-168.086954869444
"55",-171.098568776189
"56",-175.847446393469
"57",-182.007749146557
"58",-188.621603126423
"59",-196.270948381658
"60",-202.558150743633
"61",-207.927896368634
"62",-214.082784154711
"63",-219.664153767641
"64",-224.327327172833
"65",-228.73421330504
"66",-232.789132881308
"67",-235.669715100482
"68",-239.031143694944
"69",-242.811402011542
"70",-245.63654752492
"71",-249.750699649246
"72",-253.678654340496
"73",-257.637934533694
"74",-261.130117417045
"75",-263.598102626192
"76",-265.798729383104
"77",-267.767530037156
"78",-268.988738226686
"79",-268.992877905691
"80",-268.613659239528
"81",-269.222493394958
"82",-269.988180460584
"83",-269.018332309962
"84",-268.40078246484
"85",-267.094592575593
"86",-264.563996590542
"87",-261.239104302188
"88",-257.920614412256
"89",-254.382973887157
"90",-251.731797113063
"91",-248.640860047598
"92",-246.436312732798
"93",-245.085583872353
"94",-244.724849342656
"95",-245.014992549883
"96",-244.251189096616
"97",-243.878263676781
"98",-243.575924650555
"99",-243.735636433826
"100",-243.354439950107
"101",-242.041608495461
"102",-240.938051386024
"103",-239.217144228115
"104",-237.901314582899
"105",-235.532381174894
"106",-232.561163520655
"107",-228.572484689621
"108",-223.975638540575
"109",-219.172056396082
"110",-216.266201543383
"111",-214.042929522362
"112",-211.338319085893
"113",-209.096739687426
"114",-207.134901984739
"115",-205.586754426603
"116",-202.419840347473
"117",-199.973981979207
"118",-197.981216768269
"119",-195.974194396519
"120",-193.751407403574
"121",-191.339750215335
"122",-188.978241521432
"123",-188.112152459448
"124",-186.87822564463
"125",-185.127154807636
"126",-183.860419435694
"127",-181.918828447828
"128",-180.739686065194
"129",-179.174469891723
"130",-178.273257062893
"131",-179.096388429218
"132",-178.76320071624
"133",-177.73650641339
"134",-176.566655754373
"135",-173.903991535176
"136",-172.873480794935
"137",-171.71512403135
"138",-172.960430994894
"139",-172.761809702872
"140",-173.442081461157
"141",-175.428791546658
"142",-178.292700624746
"143",-182.320990162324
"144",-188.331627379957
"145",-195.332208832453
"146",-202.484474886115
"147",-208.724234149129
"148",-214.556323603898
"149",-221.630597433872
"150",-229.347565675737
"151",-235.134290228777
"152",-240.510815417803
"153",-247.1786899278
"154",-251.211519063032
"155",-254.757275910034
"156",-257.44914043909
"157",-259.052562262694
"158",-260.42997012921
"159",-261.739179158164
"160",-264.033203719774
"161",-267.638082703227
"162",-268.778906351451
"163",-270.585158069535
"164",-271.478547139597
"165",-271.407271983369
"166",-269.72799389001
"167",-266.213316271749
"168",-261.996175920243
"169",-256.561181489983
"170",-252.249840888869
"171",-247.270170172216
"172",-241.074087967226
"173",-234.643430408289
"174",-228.631469436853
"175",-222.381288375456
"176",-216.68169550613
"177",-211.482705405325
"178",-205.119817812478
"179",-196.601393265206
"180",-189.792125727036
"181",-184.583680803989
"182",-180.413789294405
"183",-175.92080356421
"184",-172.31666498775
"185",-168.318847429405
"186",-164.084488402993
"187",-160.280626190068
"188",-157.024697103478
"189",-155.091019675723
"190",-152.475215498588
"191",-147.69662183992
"192",-143.334697830545
"193",-140.330091718096
"194",-137.996712067568
"195",-135.013414173586
"196",-131.258825104833
"197",-124.827604108896
"198",-119.767254534213
"199",-114.649145814034
"200",-109.728104602023
"201",-106.068581015534
"202",-103.071499990682
